Date,close,high,low,open,volume
2019-04-12,1222.73,1223.05,1213.29,1215.62,1215610
2019-04-11,1209.59,1212.74,1204.54,1208.90,849947
2019-04-10,1206.45,1208.94,1200.66,1205.09,775456
2019-04-09,1202.69,1207.15,1198.38,1201.89,983840
2019-04-08,1208.28,1213.95,1204.70,1211.11,1087588
2019-04-05,1211.45,1220.39,1210.03,1219.30,1001044
2019-04-04,1219.45,1220.55,1209.04,1211.29,1051089
2019-04-03,1210.81,1220.60,1205.08,1212.70,1109614
2019-04-02,1205.54,1205.81,1191.24,1200.05,914413
2019-04-01,1198.98,1200.20,1186.36,1187.54,1385595
2019-03-29,1176.89,1183.97,1166.38,1180.18,1544615
2019-03-28,1172.27,1177.25,1163.43,1175.50,1120122
2019-03-27,1178.01,1191.92,1164.23,1191.92,1471402
2019-03-26,1189.84,1207.65,1181.76,1205.19,1537606
2019-03-25,1197.38,1209.44,1190.00,1199.56,1378849
2019-03-22,1207.65,1233.63,1206.00,1228.85,1721133
2019-03-21,1236.13,1236.44,1216.58,1220.00,1407480
2019-03-20,1226.43,1229.99,1199.59,1201.40,2075442
2019-03-19,1202.46,1203.41,1189.46,1191.72,1489407
2019-03-18,1188.55,1194.95,1181.48,1189.69,1222203
2019-03-15,1190.30,1201.72,1187.01,1198.00,2593338
2019-03-14,1192.53,1204.70,1191.23,1199.02,1365072
2019-03-13,1199.06,1207.12,1197.91,1205.93,1294354
2019-03-12,1197.25,1205.71,1182.30,1182.30,2110979
2019-03-11,1179.26,1179.91,1151.57,1152.00,1501633
2019-03-08,1149.97,1153.45,1130.20,1133.90,1184732
2019-03-07,1150.85,1163.58,1141.71,1160.50,1504328
2019-03-06,1164.94,1174.74,1163.05,1171.76,1180052
2019-03-05,1169.19,1176.49,1153.02,1156.00,2004723
2019-03-04,1153.42,1165.52,1138.25,1154.56,1774467
2019-03-01,1148.52,1150.00,1131.00,1131.00,1704258
2019-02-28,1126.55,1133.99,1118.41,1119.00,1371355
2019-02-27,1122.89,1125.73,1108.56,1114.01,1104881
2019-02-26,1122.01,1126.44,1106.70,1114.37,1751261
2019-02-25,1117.33,1125.40,1114.11,1121.93,1310362
2019-02-22,1116.56,1117.25,1100.50,1109.70,1471783
2019-02-21,1104.21,1119.15,1097.98,1118.78,1663980
2019-02-20,1120.59,1130.93,1111.75,1128.88,1204533
2019-02-19,1126.51,1129.64,1116.64,1116.64,1099259
2019-02-15,1119.63,1139.30,1116.72,1139.30,1391348
2019-02-14,1129.20,1136.13,1117.09,1125.00,1055297
2019-02-13,1128.63,1142.85,1126.00,1133.04,1402087
2019-02-12,1127.58,1132.86,1111.01,1111.01,1751771
2019-02-11,1102.12,1113.43,1100.00,1103.75,924881
2019-02-08,1102.38,1105.10,1094.24,1094.88,1088327
2019-02-07,1105.91,1111.99,1093.59,1111.82,1914877
2019-02-06,1122.89,1154.00,1118.36,1149.27,2412820
2019-02-05,1151.87,1152.77,1123.60,1129.63,4114790
2019-02-04,1141.42,1142.34,1117.51,1119.01,3920591
2019-02-01,1118.62,1134.40,1114.25,1122.29,1655813
2019-01-31,1125.89,1127.67,1105.25,1112.24,2011572
2019-01-30,1097.99,1099.52,1076.64,1077.36,1472647
2019-01-29,1070.06,1084.73,1066.02,1081.04,985248
2019-01-28,1079.86,1093.37,1074.61,1090.07,1466714
2019-01-25,1101.51,1103.36,1091.80,1094.23,1163788
2019-01-24,1084.00,1088.00,1070.02,1082.51,1455948
2019-01-23,1084.41,1092.95,1067.57,1086.86,1259738
2019-01-22,1078.63,1098.97,1070.89,1096.00,1981594
2019-01-18,1107.30,1118.00,1099.28,1108.59,2244569
2019-01-17,1099.12,1100.70,1083.26,1087.99,1244801
2019-01-16,1089.51,1102.36,1088.01,1090.00,1914041
