Date,close,high,low,open,volume
2019-04-12,351.14,361.75,349.36,360.69,15646199
2019-04-11,367.65,370.12,360.81,365.00,6526899
2019-04-10,363.92,368.85,362.25,365.79,4545561
2019-04-09,364.71,366.74,359.00,360.54,5439228
2019-04-08,361.41,365.94,359.93,365.11,4653810
2019-04-05,365.49,369.80,364.66,369.00,3905493
2019-04-04,367.88,372.05,362.40,370.07,4627305
2019-04-03,369.75,373.41,366.19,369.26,5376623
2019-04-02,367.72,368.42,362.22,366.25,5158742
2019-04-01,366.96,368.33,358.51,359.00,7036097
2019-03-29,356.56,358.25,353.71,357.16,4705636
2019-03-28,354.61,355.94,349.20,354.49,4360960
2019-03-27,353.37,362.47,350.37,361.00,7852370
2019-03-26,359.97,368.38,358.02,367.87,7666475
2019-03-25,366.23,367.04,357.44,359.00,8473845
2019-03-22,361.01,376.43,360.04,375.95,8661346
2019-03-21,377.87,379.00,370.61,374.00,8544017
2019-03-20,375.22,375.90,357.01,358.91,10917165
2019-03-19,358.78,366.96,356.80,366.40,7541425
2019-03-18,363.44,370.97,361.86,362.47,7194726
2019-03-15,361.46,364.00,358.89,361.02,8443210
2019-03-14,358.82,363.84,358.10,360.50,5271429
2019-03-13,361.21,362.48,352.77,355.81,6444092
2019-03-12,356.27,360.13,353.80,359.37,5164571
2019-03-11,358.86,358.98,350.03,352.00,5387285
2019-03-08,349.60,349.92,342.47,345.75,6898838
2019-03-07,352.60,362.86,350.50,360.16,6151331
2019-03-06,359.61,359.88,351.70,353.60,6211895
2019-03-05,354.30,356.17,348.25,351.46,5937754
2019-03-04,351.04,362.25,348.04,359.72,7486996
2019-03-01,357.32,362.87,354.69,362.26,5526539
2019-02-28,358.10,366.39,357.71,362.47,6186763
2019-02-27,362.87,368.03,359.80,363.50,5629945
2019-02-26,364.97,365.70,359.33,362.98,4944593
2019-02-25,363.91,371.49,363.79,367.01,7569320
2019-02-22,363.02,366.13,360.05,360.34,7088214
2019-02-21,356.97,362.85,353.88,360.03,6227897
2019-02-20,359.91,366.71,356.70,364.85,8110741
2019-02-19,361.92,365.00,355.32,355.80,7396559
2019-02-15,356.87,364.40,355.50,358.47,9229980
2019-02-14,359.07,360.45,348.33,351.75,9295338
2019-02-13,351.77,359.60,350.28,357.30,10559146
2019-02-12,359.97,360.00,346.52,348.09,10429399
2019-02-11,345.73,352.87,344.81,350.00,5454863
2019-02-08,347.57,348.00,338.00,338.00,7561391
2019-02-07,344.71,348.75,339.02,347.90,7864529
2019-02-06,352.19,357.04,347.19,357.00,6717662
2019-02-05,355.81,360.00,352.90,353.20,9046623
2019-02-04,351.34,352.00,341.30,342.60,9051387
2019-02-01,339.85,346.84,336.50,337.18,9827760
2019-01-31,339.50,345.99,338.09,339.68,8535517
2019-01-30,340.66,341.78,330.80,332.75,9234530
2019-01-29,328.90,338.22,328.15,335.87,7655189
2019-01-28,335.66,336.30,328.88,334.70,8652082
