Date,close,high,low,open,volume
2019-04-11,1844.07,1849.95,1840.31,1848.70,2654842
2019-04-10,1847.33,1848.00,1828.81,1841.00,2963973
2019-04-09,1835.84,1853.09,1831.78,1845.49,3714368
2019-04-08,1849.86,1850.20,1825.11,1833.23,3752841
2019-04-05,1837.28,1838.58,1825.19,1829.00,3640476
2019-04-04,1818.86,1828.75,1804.20,1820.65,3623867
2019-04-03,1820.70,1830.00,1809.62,1826.72,3980590
2019-04-02,1813.98,1820.00,1805.12,1811.02,3448115
2019-04-01,1814.19,1815.67,1798.73,1800.11,4238752
2019-03-29,1780.75,1792.86,1776.63,1786.58,3320793
2019-03-28,1773.42,1777.93,1753.47,1770.00,3042958
2019-03-27,1765.70,1787.50,1745.68,1784.13,4324801
2019-03-26,1783.76,1805.77,1773.36,1793.00,4865880
2019-03-25,1774.26,1782.68,1747.50,1757.79,5103803
2019-03-22,1764.77,1818.98,1763.11,1810.17,6362983
2019-03-21,1819.26,1823.75,1787.28,1796.26,5767797
2019-03-20,1797.27,1799.50,1767.03,1769.94,6265633
2019-03-19,1761.85,1784.16,1753.51,1753.51,6364161
2019-03-18,1742.15,1750.00,1712.63,1712.70,5429058
2019-03-15,1712.36,1718.80,1693.13,1703.00,7550870
2019-03-14,1686.22,1702.00,1684.34,1691.20,2946618
2019-03-13,1690.81,1700.00,1679.35,1683.00,3552041
2019-03-12,1673.10,1684.27,1660.98,1669.00,3614498
2019-03-11,1670.62,1672.29,1626.01,1626.12,3876352
2019-03-08,1620.80,1622.72,1586.57,1604.01,4667014
2019-03-07,1625.95,1669.75,1620.51,1667.37,4957017
2019-03-06,1668.95,1697.75,1668.28,1695.97,3996001
2019-03-05,1692.43,1707.80,1689.01,1702.95,3681522
2019-03-04,1696.17,1709.43,1674.36,1685.00,6167358
2019-03-01,1671.73,1674.26,1651.00,1655.13,4974877
2019-02-28,1639.83,1651.77,1633.83,1635.25,3025891
2019-02-27,1641.09,1641.81,1615.10,1628.18,3148824
2019-02-26,1636.40,1639.99,1616.13,1625.98,2665815
2019-02-25,1633.00,1654.60,1630.39,1641.45,3184462
2019-02-22,1631.56,1634.94,1621.17,1623.50,3096191
2019-02-21,1619.44,1623.56,1600.91,1619.85,3483392
2019-02-20,1622.10,1634.93,1610.12,1630.00,3337589
2019-02-19,1627.58,1634.00,1600.56,1601.00,3681656
2019-02-15,1607.95,1628.91,1604.50,1627.86,4343893
2019-02-14,1622.65,1637.90,1606.06,1624.50,4120524
2019-02-13,1640.00,1656.38,1637.11,1647.00,3560321
2019-02-12,1638.01,1639.40,1598.88,1604.00,4858604
2019-02-11,1591.00,1609.29,1586.00,1600.98,3317328
2019-02-08,1588.22,1588.59,1566.76,1586.00,5657457
2019-02-07,1614.37,1625.54,1592.91,1625.00,4626589
2019-02-06,1640.26,1672.26,1633.34,1670.75,3939883
2019-02-05,1658.81,1665.26,1642.50,1643.34,4453105
2019-02-04,1633.31,1649.63,1613.50,1623.00,4929187
2019-02-01,1626.23,1673.06,1622.01,1638.88,11506213
2019-01-31,1718.73,1736.41,1679.08,1692.85,10910338
2019-01-30,1670.43,1676.95,1619.68,1623.00,5783822
2019-01-29,1593.88,1632.38,1590.72,1631.27,4632782
2019-01-28,1637.89,1645.00,1614.09,1643.59,4837711
2019-01-25,1670.57,1683.48,1661.61,1670.50,4959679
2019-01-24,1654.93,1657.26,1631.78,1641.07,4089943
2019-01-23,1640.02,1657.43,1612.00,1656.00,5225212
2019-01-22,1632.17,1681.87,1610.20,1681.00,6416796
2019-01-18,1696.20,1716.20,1691.54,1712.00,6020503
2019-01-17,1693.22,1700.17,1677.50,1680.00,4208875
2019-01-16,1683.78,1705.00,1675.88,1684.22,6366864
2019-01-15,1674.56,1675.16,1626.01,1632.00,5998510
2019-01-14,1617.21,1648.20,1595.15,1615.00,6005888
2019-01-11,1640.56,1660.29,1636.22,1640.55,4686222
2019-01-10,1656.22,1663.25,1621.62,1641.01,6507693
2019-01-09,1659.42,1667.80,1641.40,1652.98,6348801
2019-01-08,1656.58,1676.61,1616.61,1664.69,8881428
2019-01-07,1629.51,1634.56,1589.19,1602.31,7993213
2019-01-04,1575.39,1594.00,1518.31,1530.00,9182575
2019-01-03,1500.28,1538.00,1497.11,1520.01,6975572
2019-01-02,1539.13,1553.36,1460.93,1465.20,7983103
2018-12-31,1501.97,1520.76,1487.00,1510.80,6954507
2018-12-28,1478.02,1513.47,1449.00,1473.35,8828950
2018-12-27,1461.64,1469.00,1390.31,1454.20,9722034
2018-12-26,1470.90,1473.16,1363.01,1368.89,10411801
2018-12-24,1343.96,1396.03,1307.00,1346.00,7219996
2018-12-21,1377.45,1480.00,1363.96,1464.99,13640320
2018-12-20,1460.83,1509.50,1432.69,1484.00,9991833
2018-12-19,1495.08,1584.53,1483.18,1543.05,8792189
2018-12-18,1551.48,1567.55,1523.01,1540.00,6522975
2018-12-17,1520.91,1576.13,1505.01,1566.00,8829762
2018-12-14,1591.91,1642.57,1585.00,1638.00,6367163
2018-12-13,1658.38,1692.12,1641.50,1680.00,5271162
2018-12-12,1663.54,1704.99,1660.27,1669.00,6597968
2018-12-11,1643.24,1679.47,1619.60,1678.00,6244695
2018-12-10,1641.03,1657.99,1590.87,1623.84,7494808
2018-12-07,1629.13,1718.93,1625.46,1705.07,7576132
2018-12-06,1699.19,1701.05,1609.85,1614.87,8789394
2018-12-04,1668.40,1770.34,1665.00,1756.00,8694455
2018-12-03,1772.36,1778.34,1730.00,1769.46,6862160
2018-11-30,1690.17,1696.00,1666.50,1679.50,5761761
2018-11-29,1673.57,1689.99,1652.33,1674.99,6613243
2018-11-28,1677.75,1681.45,1601.22,1613.92,8458738
2018-11-27,1581.42,1597.65,1558.01,1575.99,5783227
2018-11-26,1581.33,1584.81,1524.22,1539.00,6257716
2018-11-23,1502.06,1536.20,1501.81,1517.00,2707642
2018-11-21,1516.73,1550.00,1515.00,1542.99,5716800
2018-11-20,1495.46,1534.75,1420.00,1437.50,10878823
2018-11-19,1512.29,1581.19,1503.36,1577.01,7789981
2018-11-16,1593.41,1614.48,1573.12,1587.50,6066080
2018-11-15,1619.44,1624.82,1546.51,1581.01,8427337
2018-11-14,1599.01,1673.00,1597.07,1656.32,6486891
2018-11-13,1631.17,1677.06,1613.75,1649.29,5933271
2018-11-12,1636.85,1708.55,1630.01,1698.24,6806245
2018-11-09,1712.43,1743.92,1701.87,1732.50,5902186
2018-11-08,1754.91,1784.00,1725.11,1755.00,6534866
2018-11-07,1755.49,1759.23,1664.08,1673.00,8192234
2018-11-06,1642.81,1665.00,1614.55,1618.35,4257353
2018-11-05,1627.80,1658.09,1596.36,1657.57,5624727
2018-11-02,1665.53,1697.44,1651.83,1678.59,6955548
2018-11-01,1665.53,1670.45,1598.44,1623.53,8135539
2018-10-31,1598.01,1623.91,1565.09,1569.99,9390211
2018-10-30,1530.42,1540.99,1476.36,1486.16,12460086
2018-10-29,1538.88,1665.74,1495.00,1660.00,13866077
2018-10-26,1642.81,1698.46,1603.00,1649.59,14963783
2018-10-25,1782.17,1794.81,1692.01,1703.34,10285742
2018-10-24,1664.20,1777.71,1656.56,1773.70,6928383
2018-10-23,1768.70,1776.34,1714.00,1742.24,6723913
2018-10-22,1789.30,1809.50,1756.00,1784.00,4500015
