Date,close,high,low,open,volume
2019-04-16,47.65,48.70,47.22,48.03,393737
2019-04-15,47.78,48.50,47.02,47.50,346655
2019-04-12,47.43,48.80,47.12,48.76,411741
2019-04-11,48.28,48.59,47.88,48.15,432113
2019-04-10,48.00,48.32,47.49,47.91,320802
2019-04-09,47.67,49.03,47.44,49.03,283198
2019-04-08,49.09,49.54,48.35,49.20,310062
2019-04-05,49.21,49.54,48.51,48.98,293443
2019-04-04,48.53,49.43,46.94,46.96,540925
2019-04-03,46.87,47.21,45.25,45.75,449382
2019-04-02,44.68,44.90,43.53,44.32,449777
2019-04-01,44.51,45.87,44.32,45.21,499492
2019-03-29,44.83,45.14,44.42,44.82,321282
2019-03-28,44.39,45.27,43.79,44.41,242087
2019-03-27,44.23,45.13,43.41,44.85,373718
2019-03-26,45.05,45.26,44.00,44.41,453177
2019-03-25,44.05,44.17,42.65,43.26,417443
2019-03-22,43.23,45.55,43.09,45.38,562576
2019-03-21,45.66,45.95,44.14,44.28,410327
2019-03-20,44.54,46.22,44.13,45.92,431151
2019-03-19,45.92,46.61,45.74,46.00,277753
2019-03-18,45.98,47.50,45.52,46.42,312427
2019-03-15,46.43,46.66,45.89,46.03,827844
2019-03-14,45.78,46.32,45.10,45.56,427411
2019-03-13,45.66,46.04,44.99,45.94,316185
2019-03-12,45.74,46.71,45.53,46.02,220682
2019-03-11,45.99,46.10,45.13,45.72,363548
2019-03-08,45.48,46.29,44.56,45.93,403031
2019-03-07,46.07,46.85,45.19,45.67,494475
2019-03-06,45.90,48.85,45.87,48.76,745876
2019-03-05,48.76,49.71,48.16,48.94,502319
2019-03-04,48.80,51.63,48.49,51.29,679489
2019-03-01,50.93,50.94,49.20,50.02,549293
2019-02-28,49.92,50.39,48.69,49.03,422538
2019-02-27,49.17,51.24,47.88,50.20,1089856
2019-02-26,50.37,51.44,50.35,50.49,664896
2019-02-25,50.57,51.15,49.98,50.82,472126
2019-02-22,50.27,50.27,49.16,49.40,339836
2019-02-21,49.15,49.95,48.80,49.90,300442
2019-02-20,49.88,50.40,49.18,49.61,411520
2019-02-19,49.60,49.95,49.32,49.91,368089
2019-02-15,49.92,49.98,48.11,48.50,503681
2019-02-14,48.15,48.72,47.64,48.43,262667
2019-02-13,48.45,49.19,48.09,49.00,211879
2019-02-12,48.89,49.23,48.27,48.41,429770
2019-02-11,48.18,48.49,47.45,47.83,219402
2019-02-08,47.63,47.72,46.10,46.77,298218
2019-02-07,46.77,47.83,46.67,47.60,274635
2019-02-06,47.92,49.35,47.49,48.88,448742
2019-02-05,48.88,49.65,47.80,47.89,810807
2019-02-04,47.77,47.79,45.92,46.37,471071
2019-02-01,46.36,46.49,44.95,46.00,322889
2019-01-31,45.97,46.05,44.43,44.91,428540
2019-01-30,44.95,44.97,43.83,44.08,425656
2019-01-29,43.95,44.59,43.56,43.91,321118
2019-01-28,43.86,44.66,43.49,43.97,541211
2019-01-25,44.57,44.73,42.85,43.52,459901
2019-01-24,43.05,43.62,42.67,42.81,193082
2019-01-23,42.86,44.44,42.25,44.10,432243
2019-01-22,44.04,44.36,42.48,42.67,510060
2019-01-18,43.17,43.98,42.35,42.85,358293
2019-01-17,42.68,43.98,42.49,43.57,634736
2019-01-16,43.58,44.50,43.40,43.77,394405
2019-01-15,43.74,44.27,41.96,42.08,482543
2019-01-14,41.90,42.97,41.73,42.39,460519
2019-01-11,42.77,44.25,42.65,43.53,392936
2019-01-10,43.97,44.99,43.10,43.90,475768
2019-01-09,43.98,44.76,43.00,43.11,452935
2019-01-08,43.27,45.11,43.13,44.00,721081
2019-01-07,43.77,43.95,41.10,41.77,793379
2019-01-04,40.94,41.29,39.80,39.92,500757
2019-01-03,39.54,40.92,38.51,40.14,754654
2019-01-02,40.22,40.26,38.18,38.36,471889
2018-12-31,38.95,39.73,37.27,39.30,445258
2018-12-28,38.88,39.58,37.80,38.62,369234
2018-12-27,38.50,38.51,35.63,37.14,462046
2018-12-26,37.93,38.50,36.36,36.66,574231
2018-12-24,36.29,36.86,35.04,35.25,278367
2018-12-21,35.76,37.44,35.71,37.44,1011208
2018-12-20,37.45,37.61,35.75,37.39,664154
2018-12-19,37.50,39.22,36.29,38.77,880725
2018-12-18,38.77,39.31,37.64,38.73,624516
2018-12-17,38.33,41.01,38.00,41.01,757543
2018-12-14,41.09,42.81,40.66,42.28,468023
2018-12-13,42.56,43.85,42.36,43.45,704002
2018-12-12,42.67,43.68,41.38,41.50,537614
2018-12-11,40.97,41.93,40.36,41.65,239718
2018-12-10,41.01,41.74,38.82,40.38,455677
2018-12-07,40.55,41.29,39.95,39.95,571170
2018-12-06,40.19,40.75,39.06,39.51,488858
2018-12-04,39.94,43.10,39.74,42.15,601977
2018-12-03,42.46,43.15,41.60,42.00,868502
2018-11-30,41.01,41.27,40.34,40.80,449525
2018-11-29,40.72,41.44,40.25,40.25,374607
2018-11-28,40.56,40.62,38.55,39.16,826120
2018-11-27,39.02,41.04,38.90,40.43,654601
2018-11-26,40.95,41.16,39.78,40.60,620629
2018-11-23,40.29,41.18,39.01,39.06,244981
2018-11-21,39.71,40.14,38.33,39.34,613454
2018-11-20,39.31,41.18,39.12,40.24,579117
2018-11-19,40.86,42.31,40.03,41.89,746021
2018-11-16,41.68,42.93,39.77,39.90,1598967
2018-11-15,39.55,42.47,38.63,39.46,4856404
2018-11-14,32.52,34.45,31.97,34.03,689769
2018-11-13,33.64,35.21,33.60,34.20,361131
2018-11-12,34.07,36.59,33.77,36.37,670574
2018-11-09,36.27,37.38,35.92,36.98,391654
2018-11-08,37.19,38.50,36.14,38.33,539462
2018-11-07,38.67,39.18,37.61,37.93,443521
2018-11-06,37.60,38.77,37.07,37.52,312515
2018-11-05,37.62,38.57,36.69,38.41,371881
2018-11-02,38.27,38.72,37.47,37.91,455946
2018-11-01,37.46,37.54,35.94,35.94,598364
2018-10-31,35.66,36.18,33.97,34.60,654343
2018-10-30,34.48,35.32,33.54,34.47,713289
2018-10-29,34.48,38.25,34.00,37.96,789399
2018-10-26,37.26,38.39,36.50,37.12,613345
2018-10-25,37.82,38.17,35.41,35.49,514892
2018-10-24,35.21,39.50,35.16,39.50,897982
2018-10-23,39.58,40.66,38.75,38.88,365950
2018-10-22,39.13,40.16,38.75,40.13,306633
2018-10-19,39.99,41.26,39.52,40.50,293252
2018-10-18,40.53,41.40,39.94,41.13,215706
2018-10-17,41.15,41.87,40.51,41.52,165503
2018-10-16,41.52,41.69,39.10,39.30,511104
2018-10-15,39.32,40.08,38.98,39.90,364849
2018-10-12,39.88,40.53,39.19,40.19,306519
2018-10-11,39.61,40.46,38.75,38.75,455172
2018-10-10,38.99,40.17,38.94,39.74,755856
2018-10-09,39.76,40.85,39.29,39.56,646708
2018-10-08,39.69,40.40,38.87,40.01,752416
2018-10-05,40.14,43.82,39.70,43.26,1350278
2018-10-04,43.17,47.72,42.98,47.39,1007455
2018-10-03,47.59,48.45,45.57,45.85,553045
2018-10-02,45.69,46.96,45.35,46.30,625520
2018-10-01,46.14,48.14,46.00,46.00,647763
2018-09-28,46.02,46.02,43.32,43.32,753371
2018-09-27,43.32,43.69,42.97,43.13,450833
2018-09-26,43.19,43.56,42.86,43.18,379944
2018-09-25,43.20,44.45,42.44,44.16,791037
2018-09-24,42.85,44.39,42.70,43.61,575092
2018-09-21,43.75,43.90,42.68,43.02,870492
2018-09-20,43.08,43.23,42.07,42.07,341221
2018-09-19,42.05,42.88,41.58,42.21,366903
2018-09-18,42.04,42.50,41.23,41.57,429006
2018-09-17,41.58,42.79,40.92,42.30,722491
2018-09-14,42.18,42.40,40.87,40.90,568321
2018-09-13,40.82,41.22,40.20,40.41,327859
2018-09-12,40.29,40.86,40.26,40.48,553064
2018-09-11,40.62,40.67,39.59,39.69,471018
2018-09-10,39.83,40.38,39.41,40.07,427285
2018-09-07,40.04,40.11,39.56,40.05,437427
2018-09-06,39.99,41.25,39.41,40.39,783925
2018-09-05,40.42,40.42,38.42,39.17,469661
2018-09-04,39.10,39.18,38.25,38.68,339739
2018-08-31,38.84,39.20,38.31,38.88,345458
2018-08-30,38.87,38.94,37.82,38.00,499581
2018-08-29,38.00,38.49,36.73,38.10,619357
2018-08-28,37.84,38.50,37.08,37.25,701414
2018-08-27,37.03,38.03,36.91,37.36,389025
2018-08-24,36.97,37.17,36.71,37.07,270750
2018-08-23,37.09,37.58,36.87,37.17,253850
2018-08-22,37.27,37.31,36.10,36.51,303532
2018-08-21,36.45,36.71,36.06,36.27,392797
2018-08-20,36.10,36.29,35.50,35.72,388996
2018-08-17,35.74,36.14,35.44,35.98,302493
2018-08-16,35.94,36.99,35.52,35.85,635541
2018-08-15,35.80,36.83,35.51,36.68,402062
2018-08-14,36.89,37.18,36.45,36.86,365059
2018-08-13,36.93,37.13,36.21,36.78,372492
2018-08-10,36.70,38.03,36.62,37.24,517923
2018-08-09,37.41,39.35,37.28,37.56,633217
2018-08-08,37.65,38.10,36.07,36.12,1036831
2018-08-07,36.40,38.41,34.90,38.25,1233968
2018-08-06,37.85,38.75,37.35,37.75,692794
2018-08-03,37.82,39.40,37.67,38.79,657543
2018-08-02,38.95,39.99,38.72,39.07,614446
2018-08-01,39.17,39.61,38.13,38.59,694217
2018-07-31,38.59,38.90,38.19,38.32,592780
2018-07-30,38.32,38.90,38.11,38.89,558776
2018-07-27,38.46,40.29,38.34,39.75,590923
2018-07-26,39.98,40.84,39.53,40.72,464186
2018-07-25,40.67,42.11,40.30,41.35,654618
2018-07-24,41.44,44.30,41.27,44.11,633871
2018-07-23,43.78,44.30,43.41,43.83,369919
2018-07-20,43.82,44.76,43.80,44.50,334909
2018-07-19,44.51,44.81,43.63,43.63,414212
2018-07-18,43.88,44.82,43.05,44.66,389921
2018-07-17,44.57,45.00,43.80,43.83,332864
2018-07-16,44.01,44.22,43.22,44.00,271579
2018-07-13,44.18,44.68,43.74,44.34,215663
2018-07-12,44.32,44.40,43.66,44.03,381278
2018-07-11,43.82,44.48,43.41,44.09,357565
2018-07-10,44.25,45.46,44.21,44.76,413815
2018-07-09,44.79,45.18,44.07,45.02,381378
2018-07-06,44.79,45.38,44.37,44.69,458913
2018-07-05,44.69,45.20,44.30,44.60,403668
2018-07-03,44.24,45.35,44.19,44.78,285767
2018-07-02,44.55,44.74,43.32,43.32,531931
2018-06-29,43.60,44.18,42.09,42.54,795146
2018-06-28,42.31,42.47,41.50,41.70,635140
2018-06-27,41.70,45.20,41.65,44.56,775090
2018-06-26,44.64,44.69,42.81,43.46,590174
2018-06-25,43.44,44.37,43.23,43.25,712617
2018-06-22,43.48,45.46,43.29,44.76,1280860
2018-06-21,44.54,48.27,44.16,48.00,1035897
2018-06-20,47.81,50.05,47.54,49.67,856472
2018-06-19,49.58,49.61,48.20,48.40,410821
2018-06-18,48.89,49.79,48.69,49.39,629048
2018-06-15,49.47,49.85,48.76,49.55,1062570
2018-06-14,49.63,49.69,48.91,49.10,680389
2018-06-13,49.17,49.40,48.72,49.09,384135
2018-06-12,48.94,49.45,48.46,48.46,553619
2018-06-11,48.35,48.76,47.83,48.21,448074
2018-06-08,48.34,49.06,47.90,47.91,618042
2018-06-07,47.76,48.41,47.38,48.17,470482
2018-06-06,48.00,48.98,47.75,48.56,494828
2018-06-05,48.37,49.66,48.06,48.91,613516
2018-06-04,48.86,48.89,47.18,48.00,559958
2018-06-01,48.08,48.60,45.89,45.94,977785
2018-05-31,45.72,45.81,44.51,44.55,660004
2018-05-30,44.24,44.98,43.46,43.94,759971
2018-05-29,43.86,45.97,43.06,45.92,1049558
2018-05-25,45.33,46.08,44.68,45.76,549011
2018-05-24,45.98,46.52,45.96,46.22,251186
2018-05-23,46.40,46.95,45.87,46.14,455408
2018-05-22,46.20,46.78,45.87,46.23,442545
2018-05-21,46.25,47.20,45.75,45.83,729796
2018-05-18,45.53,47.64,45.51,47.50,944409
2018-05-17,47.29,47.35,46.11,46.39,809091
2018-05-16,46.58,47.19,45.86,46.87,653443
2018-05-15,46.69,47.22,44.83,45.62,893486
2018-05-14,45.62,46.93,45.22,45.50,1159250
2018-05-11,44.99,45.09,42.96,43.01,962640
2018-05-10,43.13,44.07,41.49,41.92,764859
2018-05-09,41.99,42.55,39.50,41.00,994039
2018-05-08,42.02,42.89,41.82,42.77,569120
2018-05-07,42.67,43.24,42.17,42.94,703324
2018-05-04,43.12,43.43,41.51,42.83,1131018
2018-05-03,43.24,43.74,40.88,42.05,1084216
2018-05-02,41.97,42.49,39.46,39.77,1196320
2018-05-01,39.75,40.15,39.32,39.78,408114
2018-04-30,39.84,40.31,39.69,40.11,623155
2018-04-27,39.99,40.23,39.06,40.10,442484
2018-04-26,40.05,40.74,39.30,40.40,627516
2018-04-25,40.38,41.12,39.38,40.17,1081649
2018-04-24,40.01,40.25,38.90,39.16,591723
2018-04-23,39.14,40.74,39.02,39.95,730058
2018-04-20,39.69,39.82,38.82,39.39,719917
2018-04-19,39.27,39.85,37.78,39.35,1517702
2018-04-18,39.15,39.89,36.84,36.84,1432173
2018-04-17,37.03,37.27,33.91,34.51,1634330
2018-04-16,34.30,35.95,33.65,35.80,795873
2018-04-13,35.68,36.15,34.37,35.75,678649
2018-04-12,35.33,37.08,35.00,36.23,986141
2018-04-11,36.20,36.65,35.01,35.86,775030
2018-04-10,36.07,36.34,35.19,35.78,1328153
2018-04-09,35.49,36.25,34.20,34.20,1286706
2018-04-06,33.88,35.71,33.21,35.39,1541253
2018-04-05,35.72,37.37,34.82,37.37,1195213
2018-04-04,37.26,37.55,36.00,36.66,1143343
2018-04-03,37.27,37.66,35.02,35.57,2002581
2018-04-02,35.30,40.12,33.81,39.48,2075843
2018-03-29,39.50,40.32,38.61,40.02,1333101
2018-03-28,39.61,41.00,39.02,40.32,1092049
2018-03-27,40.14,41.59,39.72,41.10,1810004
2018-03-26,41.01,42.89,38.78,42.60,3888055
2018-03-23,41.88,42.78,41.19,41.39,2380308
2018-03-22,41.18,43.30,40.98,41.56,8896616
2018-03-21,44.00,45.85,39.24,40.08,6916047
2018-03-20,39.75,44.44,38.96,40.41,11738828
2018-03-19,30.89,31.48,30.00,31.35,1911293
2018-03-16,31.51,33.13,30.25,33.10,2486759
2018-03-15,33.01,36.67,31.55,36.24,2044613
2018-03-14,36.03,40.17,36.00,39.86,1257148
2018-03-13,39.28,40.46,38.62,40.20,731368
2018-03-12,40.20,42.27,39.92,42.22,549729
2018-03-09,42.27,42.78,41.43,42.11,391702
2018-03-08,41.63,42.92,41.15,42.92,411145
2018-03-07,42.58,43.20,41.52,42.76,528058
2018-03-06,42.64,42.87,41.76,42.73,491835
2018-03-05,42.80,44.50,42.75,43.76,595359
2018-03-02,43.37,43.87,40.30,40.35,645829
2018-03-01,40.67,41.17,37.80,38.53,579701
2018-02-28,38.77,39.83,37.94,38.22,574929
2018-02-27,37.77,39.39,36.80,39.22,705912
2018-02-26,38.86,40.40,38.52,39.99,501690
2018-02-23,39.97,41.00,38.51,40.84,671525
2018-02-22,40.85,42.20,40.80,41.53,542181
2018-02-21,41.19,42.26,40.52,40.52,482747
2018-02-20,40.52,42.74,40.29,41.00,654476
2018-02-16,40.80,41.37,40.60,40.60,366253
2018-02-15,40.77,41.74,39.21,41.45,420633
2018-02-14,40.98,41.06,39.22,39.52,364901
2018-02-13,39.96,41.87,39.08,40.33,661661
2018-02-12,40.34,40.50,38.66,39.85,525419
2018-02-09,39.71,40.10,36.88,38.62,683594
2018-02-08,38.40,40.85,38.19,40.24,728544
2018-02-07,40.04,40.49,39.00,39.16,397485
2018-02-06,39.12,40.37,38.18,38.98,556316
2018-02-05,39.50,40.45,38.50,38.58,578146
2018-02-02,39.13,40.82,37.04,38.63,602220
2018-02-01,38.79,38.99,36.88,37.34,454628
2018-01-31,37.42,37.96,36.60,37.71,492575
2018-01-30,37.49,37.67,35.10,36.26,529496
2018-01-29,36.62,38.42,36.13,37.71,886044
2018-01-26,37.86,38.96,37.75,38.44,406782
2018-01-25,38.18,38.77,37.56,38.30,320774
2018-01-24,38.08,38.41,36.57,37.90,691898
2018-01-23,37.68,37.80,35.81,35.90,610912
2018-01-22,35.89,36.85,35.71,35.83,712194
2018-01-19,35.60,35.75,34.30,34.56,621598
