Date,close,high,low,open,volume
2019-04-16,185.78,185.79,183.40,185.55,12195911
2019-04-15,183.07,188.17,182.56,188.06,14616599
2019-04-12,188.91,189.79,187.14,187.71,12600038
2019-04-11,184.98,186.06,183.75,185.15,8900299
2019-04-10,186.19,187.40,184.00,186.69,10655022
2019-04-09,187.19,187.89,186.16,186.49,11578209
2019-04-08,186.50,187.82,184.01,184.19,14725576
2019-04-05,185.35,185.50,182.00,182.51,18705035
2019-04-04,181.07,181.96,176.89,177.04,17002465
2019-04-03,178.32,180.70,176.76,179.51,26819027
2019-04-02,181.74,183.56,180.95,181.46,8021500
2019-04-01,180.89,185.56,180.89,185.09,12714767
2019-03-29,182.45,182.60,179.00,180.73,13850865
2019-03-28,177.73,178.53,175.97,177.47,7232992
2019-03-27,177.03,179.83,176.91,177.70,8370972
2019-03-26,178.08,180.65,177.10,179.70,7897854
2019-03-25,178.77,178.90,174.10,174.33,7511447
2019-03-22,176.26,180.48,175.34,179.77,11688442
2019-03-21,181.50,181.73,178.52,178.95,9754460
2019-03-20,181.28,181.95,178.43,180.94,15901452
2019-03-19,182.14,183.36,180.85,181.63,10238626
2019-03-18,181.83,182.89,180.76,181.93,7847801
2019-03-15,180.97,181.45,179.66,180.66,10844077
2019-03-14,180.36,180.82,178.01,179.06,9272010
2019-03-13,180.70,182.54,179.26,180.73,8868194
2019-03-12,180.63,182.18,179.51,182.04,8659992
2019-03-11,180.41,181.72,177.58,177.83,13764041
2019-03-08,175.03,175.35,171.57,171.57,14674221
2019-03-07,177.32,181.80,176.73,180.91,16488914
2019-03-06,184.17,185.59,183.02,184.38,10009110
2019-03-05,185.00,188.08,185.00,186.94,11513174
2019-03-04,187.25,187.34,184.46,186.00,14761686
2019-03-01,183.88,186.90,183.38,185.09,14348493
2019-02-28,183.03,184.30,181.47,183.01,12370403
2019-02-27,184.58,184.93,180.88,181.72,16741572
2019-02-26,183.54,184.35,179.37,179.79,13870985
